,CID,Description
0,1697,"4,5-dianilinophthalimide is phthalimide substituted at the 4- and 5-positions by anilino groups. It has a role as a tyrosine kinase inhibitor and a geroprotector."
1,755673,"7-hydroxy-2,3,4,5-tetrahydrobenzofuro[2,3-c]azepin-1-one is a member of benzofurans."
2,15160711,Ovalitenin B is a butanone.
3,176870,"Erlotinib is a quinazoline compound having a (3-ethynylphenyl)amino group at the 4-position and two 2-methoxyethoxy groups at the 6- and 7-positions. It has a role as an antineoplastic agent, a protein kinase inhibitor and an epidermal growth factor receptor antagonist. It is a member of quinazolines, a terminal acetylenic compound, an aromatic ether and a secondary amino compound."
4,656344,"2-[[5-(4-methylphenyl)-1,3,4-oxadiazol-2-yl]thio]-1-(4-phenyl-1-piperazinyl)ethanone is a member of piperazines."
5,2431,"Bretylium is a quaternary ammonium cation having 2-bromobenzyl, ethyl and two methyl groups attached to the nitrogen. It blocks noradrenaline release from the peripheral sympathetic nervous system, and is used in emergency medicine, cardiology, and other specialties for the acute management of ventricular tachycardia and ventricular fibrillation. It has a role as an adrenergic antagonist, an anti-arrhythmia drug and an antihypertensive agent."
6,591524,6-Methoxysalicylic acid is a methoxybenzoic acid.
7,1064,"1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid is a quinic acid."
8,3237184,"N-[1-[(4-chlorophenyl)methyl]-5-methyl-3-pyrazolyl]-5-(3,4-dimethoxyphenyl)-3-isoxazolecarboxamide is a dimethoxybenzene."
9,2044,2-[(3-bromo-5-tert-butyl-4-hydroxyphenyl)methylidene]propanedinitrile is an alkylbenzene.
10,135398505,"Meso-tetrakis(N-methyl-4-pyridyl)porphine(4+) is an organic cation that is porphyrin bearing four 1-methylpyridinium-4-yl groups at the 5-, 10-, 15- and 20-positions. It has a role as a photosensitizing agent, an angiogenesis inhibitor, an antineoplastic agent and an EC 2.7.7.49 (RNA-directed DNA polymerase) inhibitor. It derives from a hydride of a porphyrin."
11,2484,"Butenafine is trimethylamine in which hydrogen atoms attached to different methyl groups are substituted by 1-naphthyl and 4-tert-butylphenyl groups. It is an inhibitor of squalene epoxidase, an enzyme responsible for the creation of sterols needed in fungal cell membranes, and is used as its hydrochloride salt for treatment of dermatological fungal infections. It has a role as an EC 1.14.13.132 (squalene monooxygenase) inhibitor and an antifungal drug. It is a tertiary amine and a member of naphthalenes."
12,1247210,N-[1-[(4-chlorophenyl)methyl]-4-pyrazolyl]-2-pyrazinecarboxamide is a member of pyrazines and a secondary carboxamide.
13,135512417,N-[(cyclohexylamino)-oxomethyl]-2-[ethyl-[(4-oxo-1H-quinazolin-2-yl)methyl]amino]acetamide is a member of quinazolines.
14,185460,Bilastine is a member of benzimidazoles.
15,3673,Ibuprofen piconol is an organic molecular entity.
16,3518,"Guanethidine is a member of the class of guanidines in which one of the hydrogens of the amino group has been replaced by a 2-azocan-1-ylethyl group. It has a role as an antihypertensive agent, an adrenergic antagonist and a sympatholytic agent. It is a member of guanidines and a member of azocanes. It is functionally related to a guanidine. It derives from a hydride of an azocane."
17,3598,"Hexachlorophene is an organochlorine compound that is diphenylmethane in which each of the phenyl groups is substituted by chlorines at positions 2, 3, and 5, and by a hydroxy group at position 6. An antiseptic that is effective against Gram-positive organisms, it is used in soaps and creams for the treatment of various skin disorders. It is also used in agriculture as an acaricide and fungicide, but is not approved for such use within the European Union. It has a role as an antiseptic drug, an acaricide, an antibacterial agent and an antifungal agrochemical. It is a polyphenol, a trichlorobenzene and a bridged diphenyl fungicide."
18,10752,2-oxo-2H-chromene-3-carboxylic acid is a member of coumarins.
19,6422124,Cyclopropyl-[4-[3-(1H-imidazol-5-yl)propoxy]phenyl]methanone is an aromatic ketone.
20,107896,SR95531 is a member of methoxybenzenes.
21,5275,4-[6-amino-3-(4-methoxyphenyl)-1-pyridazin-1-iumyl]butanoic acid is a member of pyridazines and a ring assembly.
22,65752,Rutecarpine is a member of beta-carbolines.
23,5650,3-methyl-2-[1-oxopentyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid is a N-acyl-amino acid.
24,10288191,"Binimetinib is a member of the class of benzimidazoles that is 1-methyl-1H-benzimidazole which is substituted at positions 4, 5, and 6 by fluorine, (4-bromo-2-fluorophenyl)nitrilo, and N-(2-hydroxyethoxy)aminocarbonyl groups, respectively. It is a MEK1 and MEK2 inhibitor (IC50= 12 nM). Approved by the FDA for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation in combination with encorafenib. It has a role as an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor, an antineoplastic agent and an apoptosis inducer. It is a member of benzimidazoles, a member of bromobenzenes, a member of monofluorobenzenes, a hydroxamic acid ester and a secondary amino compound."
25,3152,"Donepezil is a racemate comprising equimolar amounts of (R)- and (S)-donepezil. A centrally acting reversible acetylcholinesterase inhibitor, its main therapeutic use is in the treatment of Alzheimer's disease where it is used to increase cortical acetylcholine. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, a nootropic agent and an EC 3.1.1.8 (cholinesterase) inhibitor. It contains a (R)-donepezil and a (S)-donepezil. It is a conjugate base of a donepezil (1+)."
26,382975,3-(4-Hydroxyphenyl)chroman-7-ol is a member of hydroxyisoflavans.
27,167551,"Anacardic acid is a hydroxybenzoic acid that is salicylic acid substituted by a pentadecyl group at position 6. It is a major component of cashew nut shell liquid and exhibits an extensive range of bioactivities. It has a role as an EC 2.3.1.48 (histone acetyltransferase) inhibitor, an apoptosis inducer, a neuroprotective agent, an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor, an anticoronaviral agent, an antibacterial agent, an anti-inflammatory agent and a plant metabolite. It is a hydroxybenzoic acid and a hydroxy monocarboxylic acid. It is functionally related to a salicylic acid."
28,60919,Tasosartan is a member of biphenyls.
29,5530,"2-phenylcyclopropan-1-amine is a member of the class of cyclopropanes carrying amino and phenyl substituents at positions 1 and 2 respectively. It is a member of cyclopropanes, a primary amine and a member of benzenes."
30,757,Glycolic acid is a 2-hydroxy monocarboxylic acid that is acetic acid where the methyl group has been hydroxylated. It has a role as a metabolite and a keratolytic drug. It is a 2-hydroxy monocarboxylic acid and a primary alcohol. It is functionally related to an acetic acid. It is a conjugate acid of a glycolate.
31,2761171,"Ethionamide is a thiocarboxamide that is pyridine-4-carbothioamide substituted by an ethyl group at position 2. A prodrug that undergoes metabolic activation by conversion to the corresponding S-oxide. It has a role as an antitubercular agent, an antilipemic drug, a fatty acid synthesis inhibitor, a leprostatic drug and a prodrug. It is a member of pyridines and a thiocarboxamide."
32,5417,"2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline is an alkaloid."
33,3279,2-[2-(1-hydroxybutan-2-ylamino)ethylamino]-1-butanol is an amino alcohol.
34,16423013,"3-methyl-1-oxo-2-[3-oxo-3-(pyrrolidin-1-yl)propyl]-1,5-dihydrobenzo[4,5]imidazo[1,2-a]pyridine-4-carbonitrile is an organic molecular entity."
