Unnamed: 0,CID,Description,Dominant_topic,Perc_Contrib,Topic_Keywords,Text
0,1697,"4,5-dianilinophthalimide is phthalimide substituted at the 4- and 5-positions by anilino groups. It has a role as a tyrosine kinase inhibitor and a geroprotector.",Drug,0.7576,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dianilinophthalimid', 'phthalimid', 'substitut', 'posit', 'anilino', 'group', 'role', 'tyrosin', 'kinas', 'inhibitor', 'geroprotector']"
1,755673,"7-hydroxy-2,3,4,5-tetrahydrobenzofuro[2,3-c]azepin-1-one is a member of benzofurans.",No annotation,0.8949,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['hydroxi', 'tetrahydrobenzofuro', 'c', 'azepin', 'one', 'member', 'benzofuran']"
2,15160711,Ovalitenin B is a butanone.,No annotation,0.7756,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ovalitenin', 'b', 'butanon']"
3,176870,"Erlotinib is a quinazoline compound having a (3-ethynylphenyl)amino group at the 4-position and two 2-methoxyethoxy groups at the 6- and 7-positions. It has a role as an antineoplastic agent, a protein kinase inhibitor and an epidermal growth factor receptor antagonist. It is a member of quinazolines, a terminal acetylenic compound, an aromatic ether and a secondary amino compound.",Drug,0.8657,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['erlotinib', 'quinazolin', 'compound', 'ethynylphenyl', 'amino', 'group', 'posit', 'two', 'methoxyethoxi', 'group', 'posit', 'role', 'antineoplast', 'agent', 'protein', 'kinas', 'inhibitor', 'epiderm', 'growth', 'factor', 'receptor', 'antagonist', 'member', 'quinazolin', 'termin', 'acetylen', 'compound', 'aromat', 'ether', 'secondari', 'amino', 'compound']"
4,656344,"2-[[5-(4-methylphenyl)-1,3,4-oxadiazol-2-yl]thio]-1-(4-phenyl-1-piperazinyl)ethanone is a member of piperazines.",No annotation,0.933,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methylphenyl', 'oxadiazol', 'yl', 'thio', 'phenyl', 'piperazinyl', 'ethanon', 'member', 'piperazin']"
5,2431,"Bretylium is a quaternary ammonium cation having 2-bromobenzyl, ethyl and two methyl groups attached to the nitrogen. It blocks noradrenaline release from the peripheral sympathetic nervous system, and is used in emergency medicine, cardiology, and other specialties for the acute management of ventricular tachycardia and ventricular fibrillation. It has a role as an adrenergic antagonist, an anti-arrhythmia drug and an antihypertensive agent.",Drug,0.9757,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['bretylium', 'quaternari', 'ammonium', 'cation', 'bromobenzyl', 'ethyl', 'two', 'methyl', 'group', 'attach', 'nitrogen', 'block', 'noradrenalin', 'releas', 'peripher', 'sympathet', 'nervous', 'system', 'use', 'emerg', 'medicin', 'cardiolog', 'specialti', 'acut', 'manag', 'ventricular', 'tachycardia', 'ventricular', 'fibril', 'role', 'adrenerg', 'antagonist', 'anti', 'arrhythmia', 'drug', 'antihypertens', 'agent']"
6,591524,6-Methoxysalicylic acid is a methoxybenzoic acid.,Metabolite,0.8647,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['methoxysalicyl', 'acid', 'methoxybenzo', 'acid']"
7,1064,"1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid is a quinic acid.",Metabolite,0.7778,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['tetrahydroxycyclohexanecarboxyl', 'acid', 'quinic', 'acid']"
8,3237184,"N-[1-[(4-chlorophenyl)methyl]-5-methyl-3-pyrazolyl]-5-(3,4-dimethoxyphenyl)-3-isoxazolecarboxamide is a dimethoxybenzene.",No annotation,0.9253,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'chlorophenyl', 'methyl', 'methyl', 'pyrazolyl', 'dimethoxyphenyl', 'isoxazolecarboxamid', 'dimethoxybenzen']"
9,2044,2-[(3-bromo-5-tert-butyl-4-hydroxyphenyl)methylidene]propanedinitrile is an alkylbenzene.,No annotation,0.9158,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['bromo', 'tert', 'butyl', 'hydroxyphenyl', 'methyliden', 'propanedinitril', 'alkylbenzen']"
10,135398505,"Meso-tetrakis(N-methyl-4-pyridyl)porphine(4+) is an organic cation that is porphyrin bearing four 1-methylpyridinium-4-yl groups at the 5-, 10-, 15- and 20-positions. It has a role as a photosensitizing agent, an angiogenesis inhibitor, an antineoplastic agent and an EC 2.7.7.49 (RNA-directed DNA polymerase) inhibitor. It derives from a hydride of a porphyrin.",Drug,0.8507,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['meso', 'tetraki', 'n', 'methyl', 'pyridyl', 'porphin', 'organ', 'cation', 'porphyrin', 'bear', 'four', 'methylpyridinium', 'yl', 'group', 'posit', 'role', 'photosensit', 'agent', 'angiogenesi', 'inhibitor', 'antineoplast', 'agent', 'ec', 'rna', 'direct', 'dna', 'polymeras', 'inhibitor', 'deriv', 'hydrid', 'porphyrin']"
