,cid
0,110094592
1,5076487
2,1697
3,52934829
4,72019641
5,16324273
6,15998487
7,16231644
8,124043647
9,6625951
10,1146997
11,92564313
12,50791609
13,137021835
14,110246988
15,110110142
16,17522425
17,6472019
18,755673
19,2988622
20,132450690
21,20997345
22,654602
23,71985395
24,72014492
25,73134523
26,72168134
27,132334201
28,23603374
29,15160711
30,2581002
31,121022697
32,3382490
33,630921
34,52915983
35,794092
36,45933421
37,47093218
38,33152580
39,3317842
40,110104910
41,3947782
42,2446031
43,31789
44,3504236
45,761053
46,3615461
47,1084460
48,752880
49,618867
50,2303017
51,16390731
52,134160976
53,2314190
54,138108023
55,124076057
56,45240564
57,16320217
58,59472574
59,4920107
60,739884
61,2824742
62,2463817
63,16231831
64,45886011
65,7614245
66,14775447
67,91906758
68,1234047
69,110151201
70,5303522
71,119102229
72,16348128
73,44142782
74,42919865
75,781255
76,2140728
77,45213747
78,4836002
79,119104515
80,16016711
81,2867456
82,176870
83,122246367
84,2208737
85,110104547
86,813422
87,1111960
88,1147586
89,131703197
90,651498
91,17455224
92,226036
93,16013352
94,16462022
95,91652434
96,1067845
97,121507318
98,53035449
99,45881419
100,121020393
101,16457907
102,1105872
103,3099940
104,50874390
105,42954366
106,75498878
107,45231631
108,19358539
109,1565220
110,896369
111,1046818
112,645174
113,74140544
114,816988
115,46360050
116,2975472
117,122569005
118,122243567
119,1245900
120,756773
121,91897970
122,1093928
123,4301352
124,835559
125,656344
126,46959673
127,1860847
128,2431
129,2338736
130,2741048
131,90596366
132,60146205
133,75433277
134,2469776
135,7287466
136,4106580
137,3365108
138,139035038
139,25249111
140,46279732
141,25855591
142,50966554
143,17519528
144,121021596
145,1248235
146,121522660
147,46977283
148,121020545
149,16423837
150,4793342
151,2833034
152,92127435
153,591524
154,1990443
155,16002804
156,110166914
157,42690040
158,46976623
159,745480
160,4887797
161,124216352
162,42453700
163,25275839
164,110262453
165,681950
166,17564586
167,3308919
168,122557089
169,2899816
170,1064
171,16021741
172,17406493
173,666249
174,20956890
175,49790384
176,16461810
177,3237184
178,121494990
179,110119105
180,4769435
181,156001953
182,18564330
183,15989879
184,46963600
185,1462503
186,26368869
187,42570856
188,4207023
189,3087427
190,42060407
191,6503758
192,605356
193,23642319
194,2893253
195,45884452
196,16356249
197,23608715
198,58129090
199,2044
200,53048067
201,40073996
202,92626315
203,6539731
204,3673342
205,752827
206,2975715
207,16031528
208,86282690
209,9184342
210,4234
211,135398505
212,1183906
213,135400155
214,618598
215,24238785
216,45880570
217,4593821
218,119104833
219,2739939
220,2880256
221,25247557
222,2724440
223,785219
224,26017300
225,24281237
226,2057759
227,2649974
228,42535816
229,1287518
230,54702696
231,117072548
232,2201484
233,9198871
234,16848123
235,3799030
236,1323538
237,124073709
238,61408670
239,20910572
240,168037135
241,53187208
242,3417519
243,16462198
244,129004983
245,11183272
246,715057
247,3612016
248,16761835
249,618112
250,110129121
251,95834051
252,21842369
253,2484
254,53184854
255,71999478
256,71968310
257,45187648
258,119062270
259,25330155
260,49809718
261,16021671
262,91906923
263,66974738
264,808243
265,768764
266,122160740
267,131920978
268,156001376
269,2250993
270,121530171
271,4089409
272,45106913
273,126853482
274,42923374
275,122246399
276,4996592
277,3094209
278,20903172
279,17020949
280,53575837
281,8023083
282,20909061
283,53180901
284,131952209
285,1826015
286,2389948
287,2180478
288,2766109
289,53069509
290,2594254
291,804651
292,121137536
293,42458070
294,72003102
295,121523404
296,20903872
297,2161317
298,4220156
299,40592753
300,18564361
301,901151
302,17412482
303,71983351
304,3145561
305,655896
306,71985719
307,4111869
308,3152358
309,91892800
310,75475590
311,1245963
312,51170946
313,303826
314,20953663
315,120341
316,4099100
317,20925734
318,3243246
319,136068734
320,262304
321,35853287
322,53014946
323,50929324
324,18525018
325,110130597
326,43843573
327,2984873
328,124043583
329,16031066
330,9817060
331,73439494
332,53624588
333,2898173
334,4316111
335,1047422
336,1274363
337,2746514
338,45529436
339,2746308
340,83278156
341,118786195
342,6459787
343,2326692
344,46506605
345,685497
346,16488162
347,46342769
348,110110169
349,1247210
350,17743735
351,3162329
352,4106428
353,4796120
354,4427203
355,17175042
356,71991096
357,53179511
358,2859630
359,41931523
360,121137572
361,135512417
362,3679027
363,127250941
364,3743088
365,588963
366,3773327
367,36236951
368,47247499
369,91889034
370,1511818
371,16021312
372,131945536
373,1266705
374,5170713
375,76553587
376,1476223
377,4019806
378,22517708
379,185460
380,40467029
381,7222650
382,121497010
383,135990484
384,75615741
385,17475365
386,136801446
387,86792227
388,1290941
389,669169
390,135472306
391,56754268
392,16015185
393,121527545
394,8105751
395,50783604
396,53025536
397,3673
398,53025604
399,126852477
400,3914437
401,3332623
402,124040385
403,3518
